,Unnamed: 0,end_date,start_date,subtitle,supporters,text,title,page,day,start_month,year,month,end_month,running_days,text_length
10,10,2018-08-12,2018-02-13,"Da vilkårene for fleksjobbere og førtidspensionister er blevet væsentligt forringet efter indførelse af reformen i januar 2013, ønskes det, at Folketinget genbehandler reformen og genindfører reformen på de vilkår, der var gældende FØR 2013.",3695,"Da vilkårene for fleksjobbere og førtidspensionister er blevet væsentligt forringet efter indførelse af reformen i januar 2013, ønskes det, at Folketinget genbehandler reformen og genindfører reformen på de vilkår, der var gældende FØR 2013.",Genindfør den tidligere fleksjobreform (før 2013),90,12.0,februar,2018,8.0,august,54 days 00:00:00.000000000,241
11,11,2018-08-11,2018-02-12,"Det er bestemt i et direktiv 2000/84/EF, at sommertid fra 2003 begynder kl. 1.00 om morgenen, verdenstid (UTC), den sidste søndag i marts og ophører kl. 1.00 om morgenen (UTC) den sidste søndag i oktober.",5907,"Det er bestemt i et direktiv 2000/84/EF, at sommertid fra 2003 begynder kl. 1.00 om morgenen, verdenstid (UTC), den sidste søndag i marts og ophører kl. 1.00 om morgenen (UTC) den sidste søndag i oktober.Forslager er at Danmark i sin nationale lovgivning, implementerer en fortolkning hvor Danmark ikke benytter sommertid - men normaltid hele året.",Afskaffelse af sommertid,104,11.0,februar,2018,8.0,august,55 days 00:00:00.000000000,348
12,12,2018-08-11,2018-02-12,"Alt andet i sundhedssektoren er gratis, så hvorfor skal tænderne på mange mennesker gå til fordi de ikke har råd til en behandling hos tandlægerne? Vi håber at du vil bede din familie samt venner om at gå ind her på siden og støtte forslaget til behandling i Folketinget.",2807,"Alt andet i sundhedssektoren er gratis, så hvorfor skal tænderne på mange mennesker gå til fordi de ikke har råd til en behandling hos tandlægerne? Vi håber at du vil bede din familie samt venner om at gå ind her på siden og støtte forslaget til behandling i Folketinget.Vi ved godt det virker mærkeligt at man skal skrive sit cpr. nr. når der er logget ind med Nem-Id, men du finder en god forklaring på Folketingets hjemmeside. Hovedbegrundelsen for forslaget er, at det bør være gratis med almindeligt tandeftersyn og akut tandpine. Det vil i sidste ende være godt for samfundsøkonomien, idet det vil spare mange virksomheder for tabte arbejdstimer når medarbejderne ikke melder sig syg på grund af tandpinen. Det må jo være klart, at hvis borgerne går til eftersyn hvert halve år, så vil man også opnå en bedre tilstand af tænderne. I dag er det for dyrt og en dårlig forretning for samfundet, at man skal betale for tandpleje. Tænk hvis folk også skulle betale for at gå til andre speciallæger - så som øjnelæge, øre- og halslæge, hudlæge m.fl.","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",109,11.0,februar,2018,8.0,august,55 days 00:00:00.000000000,1049
13,13,2018-08-05,2018-02-06,Folketinget pålægger i forbindelse med medieforliget 2018 forligsparterne at indføre nedsat medielicens for unge/studerende svarende til §10 omhandlende mulighed for nedsat medielicens for pensionister.,501,Folketinget pålægger i forbindelse med medieforliget 2018 forligsparterne at indføre nedsat medielicens for unge/studerende svarende til §10 omhandlende mulighed for nedsat medielicens for pensionister.,Forslag om nedsat medielicens for unge og studerende,110,5.0,februar,2018,8.0,august,61 days 00:00:00.000000000,202
14,14,2018-08-08,2018-02-09,Folketinget pålægger Økonomi- og indenrigsministeren at gennemføre en kommunalreform med henblik på at øge antallet af kommuner og indføre et styrket regionalt niveau.,62,Folketinget pålægger Økonomi- og indenrigsministeren at gennemføre en kommunalreform med henblik på at øge antallet af kommuner og indføre et styrket regionalt niveau.,Et opgør med centraliseringen,111,8.0,februar,2018,8.0,august,58 days 00:00:00.000000000,167
15,15,2018-08-11,2018-02-12,"Kommunerne sagsbehandling af syge borgere er i dag mangelfuld i forhold til sygdomsforløbet, langtrækkende og fastholder syge borgere i deres sygdom. Dette er dårligt for borgeren og bekosteligt for samfundet. Dette forslag har til formål at mindske kommunernes sagsbehandling og give syge borgere tid til at komme sig over deres sygdom, fremfor at tvinge borgerne igennem dyre tilbud for at undgå at borgerne før en førtidspension.",365,"Kommunerne sagsbehandling af syge borgere er i dag mangelfuld i forhold til sygdomsforløbet, langtrækkende og fastholder syge borgere i deres sygdom. Dette er dårligt for borgeren og bekosteligt for samfundet. Dette forslag har til formål at mindske kommunernes sagsbehandling og give syge borgere tid til at komme sig over deres sygdom, fremfor at tvinge borgerne igennem dyre tilbud for at undgå at borgerne før en førtidspension.•	Borgere med erklæring fra egen læge eller faglige specialister som tilkendegiver stærkt nedsat erhvervsevne (60% eller mere) skal som udgangspunkt have førtidspensionslignende forhold. •	Borgeren skal have tilbud om helbredsmæssig forbedrende behandling, såfremt en sådan er mulig, og ved endt behandling skal arbejdsevne igen vurderes af specialister på området.•	Borgerens uarbejdsdygtighed må på intet tidspunkt vurderes ud fra andet end en lægefaglig vurdering og skal altid laves af den behandlende læge.•	Er der tvivl om den lægelige vurdering kan den lægelige vurdering kræves vurderet af en lægefaglig person med ekspertviden indenfor det område sygdommen omhandler. Denne person skal være ansat ved regionen og udpeges af regionen.",Nej til syge borgere på kontanthjælp,117,11.0,februar,2018,8.0,august,55 days 00:00:00.000000000,1174
16,16,2018-08-25,2018-02-26,"Jeg foreslår, at momsen på økologisk frugt og grønt nedsættes ganske væsentligt.",713,"Jeg foreslår, at momsen på økologisk frugt og grønt nedsættes ganske væsentligt.",Nedsættelse af moms på økologiske frugt og grøntsager.,119,25.0,februar,2018,8.0,august,41 days 00:00:00.000000000,80
17,17,2018-07-31,2018-02-01,"Folketinget pålægger regeringen at fremsætte lovforslag, som ulovliggør omskæring af umyndige drenge uden medicinsk indikation.",904,"Folketinget pålægger regeringen at fremsætte lovforslag, som ulovliggør omskæring af umyndige drenge uden medicinsk indikation.",Omskæring af drenge – 18-års grænse,120,31.0,februar,2018,7.0,juli,66 days 00:00:00.000000000,127
18,18,2018-07-31,2018-02-01,"Folketinget pålægger regeringen at fremsætte lovforslag, der indfører en kønsneutral mindstealder på 18 år for omskæring, som ikke er nødvendig af helbredsmæssige årsager.",34938,"Folketinget pålægger regeringen at fremsætte lovforslag, der indfører en kønsneutral mindstealder på 18 år for omskæring, som ikke er nødvendig af helbredsmæssige årsager.",Indførelse af 18 års mindstealder for omskæring af raske børn,124,31.0,februar,2018,7.0,juli,66 days 00:00:00.000000000,171
19,19,2018-07-29,2018-01-30,"Folketinget anmodes om at vedtage ved lov, at alle offentlige køkkener som en fast valgmulighed skal tilbyde et plantebaseret måltid, som er mættende og nærende. Formålet er at sikre, at alle borgere kan vælge et mættende og nærende måltid i de offentlige køkkener - skoler, plejehjem, daginstitutioner, hospitaler, plejecentre, osv - uanset om de er vegetarer, veganere, allergikere eller blot ønsker muligheden for at spise grønnere.",6380,"Folketinget anmodes om at vedtage ved lov, at alle offentlige køkkener som en fast valgmulighed skal tilbyde et plantebaseret måltid, som er mættende og nærende. Formålet er at sikre, at alle borgere kan vælge et mættende og nærende måltid i de offentlige køkkener - skoler, plejehjem, daginstitutioner, hospitaler, plejecentre, osv - uanset om de er vegetarer, veganere, allergikere eller blot ønsker muligheden for at spise grønnere.",Grøn mad i alle offentlige køkkener,131,29.0,januar,2018,7.0,juli,68 days 00:00:00.000000000,435
20,20,2018-08-13,2018-02-14,Baggrund: ,15,"Baggrund: Når en kommune udarbejder et nyt forslag til Kommuneplan koordineres det undervejs med forskellige offentlige instanser , bl.a. Erhvervsstyrelsen og med forskellige interesseorganisationer, bl.a. Stifter.Når forslaget er endelig udarbejdet sendes det i ""offentlig høring"" og i den forbindelse direkte til bl.a. Erhvervsstyrelsen og Stiftet, til kommentering. Forslaget offentliggøres tillige forskellige steder - aviser og hjemmesider, så borgerne kan fremkomme med kommentarer.Kommer der ingen bemærkninger vedtages Kommuneplanen og er dermed gældende.Herefter kan ejere af jord og ejendom, kommuner m.v. så udarbejde lokalplaner i h.h.t. rammerne og indholdet i Kommuneplanen.Og nu kan problemet så opstå - hvilket det gjorde i mit tilfælde!Selvom den lokalplan vi (forslagsstiller m.fl. og kommune) udarbejdede holdt sig mere end rigeligt indenfor rammerne af Kommuneplanen, så kan offentlige instanser bl.a. Erhvervsstyrelsen og andre interesseorganisationer som f.eks. Stiftet, gøre indsigelse mod f.eks. en bebyggelse i lokalplanen - selvom både Erhvervst. og Stiftet 1½ år tidligere godkendte selv samme bebyggelse!!!!Det er jo fuldstændig absurd og er at gøre grin med skatteborgernes penge, da det koster dyrt for en kommune, at udarbejde en lokalplan.Mit helt konkrete forslag:""Når en ny Lokalplan er udarbejdet og sendes i ""offentlig høring"" og den holder sig indenfor rammerne af den gældende Kommuneplan, kan der ikke gøres indsigelse mod Lokalplanen f.s.v. angår disse forhold.Indsigelse kan alene foretages mod det indhold i Lokalplanen som ikke er i overensstemmelse med rammerne/bestemmelserne i Kommuneplanen. (Alle off. instanser og diverse interesseorganisationer, borgere m.v. skulle jo have fremkommet med deres evt. indsigelser i forbindelse med offentliggørelsen af Kommuneplanen). Først siger de ja og når en masse arbejde er udført, så sige de nej! (hvad foregår der lige...)",Forslag til Planloven - tid til forandring og retfærdighed!,138,13.0,februar,2018,8.0,august,53 days 00:00:00.000000000,1911
21,21,2018-07-29,2018-01-30,"Jeg stiller hermed forslag om at ophævelsen af 45 km/t begænsningen, af 50 cc knallerter/scooterere, ophæves af hensyn til at de skal kunne følge trafikken, og vil forurene mindre hvis denne begrænsning ikke sidder i, i tillæg forslås hermed 2 dages weekend kursus, til indehavere af alm. bilkørekort, som ønsker at føre et 2 hjulet ubegrænset 50 cc køretøj, dette vil øge trafiksikkerheden.",176,"Jeg stiller hermed forslag om at ophævelsen af 45 km/t begænsningen, af 50 cc knallerter/scooterere, ophæves af hensyn til at de skal kunne følge trafikken, og vil forurene mindre hvis denne begrænsning ikke sidder i, i tillæg forslås hermed 2 dages weekend kursus, til indehavere af alm. bilkørekort, som ønsker at føre et 2 hjulet ubegrænset 50 cc køretøj, dette vil øge trafiksikkerheden.",Opæhvelse af begrænsning på 45 knallerter,139,29.0,januar,2018,7.0,juli,68 days 00:00:00.000000000,391
22,22,2018-08-11,2018-02-12,"At arveafgiften (boafgift) afskaffes for nærmeste familie, dvs den nuværende afgift på 15% reduceres til 0 %",11146,"At arveafgiften (boafgift) afskaffes for nærmeste familie, dvs den nuværende afgift på 15% reduceres til 0 %",Arveafgift,146,11.0,februar,2018,8.0,august,55 days 00:00:00.000000000,108
23,23,2018-07-31,2018-02-01,"Råstofudvinding i Øresund forbydes, herunder udvinding af sand, grus, ral og sten samt fyldesand",1367,"Råstofudvinding i Øresund forbydes, herunder udvinding af sand, grus, ral og sten samt fyldesand",Forbud mod råstofudvinding i Øresund,149,31.0,februar,2018,7.0,juli,66 days 00:00:00.000000000,96
24,24,2018-08-12,2018-02-13,"Jeg ønsker, at lovgivningen bliver ændret, så alle, der får et synshandicap, hvor de ikke selv kan færdes, som alle andre under 65 år kan få en ledsagerordning (paragraf 97 i Serviceloven) på femten timer om måneden.",225,"Jeg ønsker, at lovgivningen bliver ændret, så alle, der får et synshandicap, hvor de ikke selv kan færdes, som alle andre under 65 år kan få en ledsagerordning (paragraf 97 i Serviceloven) på femten timer om måneden.Som lovgivningen er i dag, har alle under 65 år, der får et svært synshandicap, så de ikke selv kan færdes, ret til at få femten timers ledsagelse om måneden. Jeg ønsker, at dette udvides til alle uanset alder, der får et synshandicap.At få et meget svært synshandicap er så invaliderende på alle planer, at man bliver meget afhængig af hjælp, hvis man ønsker at leve et aktivt liv.Prøv at tage bind for øjnene en dag fra klokken ni til femten og forestil dig, at du aldrig kan tage det af igen. Så får du en fornemmelse af, hvor lidt du kan foretage dig uden hjælp.Jeg håber, der er mange, der vil stemme for dette forslag - for det kan ramme dig. Forslaget blev allerede bragt op for ti år siden, men Folketinget har alligevel ikke villet vedtage det. Hvorfor?Med venlig hilsenLene Lønborg","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",171,12.0,februar,2018,8.0,august,54 days 00:00:00.000000000,1007
25,25,2018-08-01,2018-02-02,Folketinget pålægger Miljø- og Fødevareministeriet - i BEK nr 1355 af 27/11/2015 og andre relevante sammenhænge - at udbygge mærkningspligten for kødvarer markedsført i Danmark med separat mærkning såfremt de pågældende kødvarer er slagtet i henhold til et religiøst ritual.,1620,Folketinget pålægger Miljø- og Fødevareministeriet - i BEK nr 1355 af 27/11/2015 og andre relevante sammenhænge - at udbygge mærkningspligten for kødvarer markedsført i Danmark med separat mærkning såfremt de pågældende kødvarer er slagtet i henhold til et religiøst ritual.,Forslag om mærkning af kød slagtet i henhold til religiøst ritual!,174,1.0,februar,2018,8.0,august,65 days 00:00:00.000000000,274
26,26,2018-08-08,2018-02-09,Grundlæggende et helt igennem sympatisk forslag – i tråd med andre Europæiske lande:,1295,Grundlæggende et helt igennem sympatisk forslag – i tråd med andre Europæiske lande:Udgangspunktet er at man automatisk er tilmeldt organdonorregisteret ud fra et princip om formodet samtykke. Det skal samtidig være muligt for at framelde sig.,Automatisk tilmelding til organdonation,180,8.0,februar,2018,8.0,august,58 days 00:00:00.000000000,243
27,27,2018-07-31,2018-02-01,Lovforslag.,501,Lovforslag.Forslag om at afskaffe samt ulovliggøre brug af Lægekonsulenter og eksterne aktører i nogen som helst form for sagsbehandlinger.Forbyd ved lovgivning brug af lægekonsulenter og eksterne aktører bør gælde både det Offentlige samt private arbejdsmarked m.v.,Forbyd brug af lægekonsulenter og eksterne aktører.,182,31.0,februar,2018,7.0,juli,66 days 00:00:00.000000000,266
28,28,2018-07-31,2018-02-01,"Ioniserende stråling omfatter bl.a. røntgenstråling og radioaktiv stråling. Lige som elektricitet kan nogle typer af stråling være farlig, mens andre typer er lige så ufarlige som et batteri. I dag afhænger reguleringen af, hvor i industri / samfund strålingen forekommer. I dette forslag opfordrer vi til, at reguleringen af ioniserende stråling bliver ændret, så den afhænger af bølgelængde og styrke frem for, hvilken industri den finder anvendelse i. I dag er der MEGET forskellige regler i fly-industrien, olie-industrien, sundhedssektoren, forskning, landbrug, nuklearforskning og private hjem. Det virker forkert, at f.eks. personalet i et fly må udsættes for 10 og i nogle tilfælde 100 gange så meget stråling som en forsker, der ved, hvad de arbejder med og er uddannet til at tage forholdsregler. ",259,"Ioniserende stråling omfatter bl.a. røntgenstråling og radioaktiv stråling. Lige som elektricitet kan nogle typer af stråling være farlig, mens andre typer er lige så ufarlige som et batteri. I dag afhænger reguleringen af, hvor i industri / samfund strålingen forekommer. I dette forslag opfordrer vi til, at reguleringen af ioniserende stråling bliver ændret, så den afhænger af bølgelængde og styrke frem for, hvilken industri den finder anvendelse i. I dag er der MEGET forskellige regler i fly-industrien, olie-industrien, sundhedssektoren, forskning, landbrug, nuklearforskning og private hjem. Det virker forkert, at f.eks. personalet i et fly må udsættes for 10 og i nogle tilfælde 100 gange så meget stråling som en forsker, der ved, hvad de arbejder med og er uddannet til at tage forholdsregler. Der er en række områder, hvor Dansk lovgivning slet ikke er fulgt med tiden og blevet opdateret i takt med, at man har fået tal for dødeligheden af forskellige strålingstyper. Der bør i første omgang vedtages en lov, som siger, at diverse regulativer af ioniserende stråling skal rettes til, så der er ligestilling mellem alle områder. Hvis en aktør (virksomhed eller privat forening) kan påvise, at der ikke er ligestilling, så skal de pågældende områdeansvarlige ministre nedsætte en arbejdsgruppe, der retter to eller flere regulativer til, så de ligestiller ioniserende stråling på disse områder. Loven skal ligeledes kræve, at der maksimalt går 12 måneder fra en fejl er påpeget, til regulativerne er rettet til.",Ligestilling for ioniserende stråling,188,31.0,februar,2018,7.0,juli,66 days 00:00:00.000000000,1524
29,29,2018-07-31,2018-02-01,"Lægekonsulenter, betalt af kommuner, som bruges i sagsbehandling i kommunerne, skal afskaffes. ",459,"Lægekonsulenter, betalt af kommuner, som bruges i sagsbehandling i kommunerne, skal afskaffes. I stedet bør kommunerne tvinges til at respektere borgernes lægeerklæringer og speciallægeerklæringer, som skal skrives i et sprog, som sagsbehandlerne kan forstå.",Borgerforslag om afskaffelse af lægekonsulenter,190,31.0,februar,2018,7.0,juli,66 days 00:00:00.000000000,258
30,30,2018-07-31,2018-02-01,"En fysisk syg borgers lægeerklæringer og speciallægeerklæringer skal respekteres i jobcentre og kommuner, og borgeren bør ikke sendes til psykiater, hvis borgeren lider af en eller flere dokumenterede fysiske sygdomme.",407,"En fysisk syg borgers lægeerklæringer og speciallægeerklæringer skal respekteres i jobcentre og kommuner, og borgeren bør ikke sendes til psykiater, hvis borgeren lider af en eller flere dokumenterede fysiske sygdomme.",STOP psykiatriseringen af fysisk syge borgere,191,31.0,februar,2018,7.0,juli,66 days 00:00:00.000000000,218
31,31,2018-08-05,2018-02-06,Forslag til indhold af en lov om pilotprojekt om basisindkomst:,970,"Forslag til indhold af en lov om pilotprojekt om basisindkomst:Pilotprojektet bør omfatte en repræsentativ del af befolkningen eks. en provinsby, et større ø-samfund, eller lignende. Pilotprojektet bør indeholde en to-delt basisindkomst. Den ene del, basisdelen, udbetales til alle danske statsborgere. Den anden del, som lægges til basisdelen, udbetales til mennesker med handicaps af forskellig slags, som gør, at de ikke er i stand til at have et arbejde med lønindkomst.Basisindkomst skal ikke beskattes.Pilotprojektet skal blandt andet afdække finansieringsmodeller. Der er et lignende pilotprojekt i gang i øjebikket i Finland. Der kan med fordel undersøges, hvordan dette forløber og eventuelt bruge erfaringer herfra til udformning af det danske pilotprojekt. Det er et andet nordisk land og derfor ikke så langt fra Danmark værdipolitisk og på andre måder.",Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.,192,5.0,februar,2018,8.0,august,61 days 00:00:00.000000000,865
32,32,2018-08-07,2018-02-08,Folkeafstemning om fortsat medlemsskab af EU NU.,682,Folkeafstemning om fortsat medlemsskab af EU NU.,Vi har aldrig stemt for EU. Folkeafstemning NU!,193,7.0,februar,2018,8.0,august,59 days 00:00:00.000000000,48
33,33,2018-08-11,2018-02-12,At der indføres et nationalt DNA register for hunde og evt. katte.,63,"At der indføres et nationalt DNA register for hunde og evt. katte.Det kan bl.a. bruges til at verificere ejerne af de hunde hvis efterladenskaber ikke samles op, og derfor ligger overalt i vores byer. Herefter får ejeren tilsendt en bøde.Registret kan også anvendes til registrering af fødsler, og modvirke hundefabrikker.",At der indføres et nationalt DNA register for hunde og katte.,196,11.0,februar,2018,8.0,august,55 days 00:00:00.000000000,322
34,34,2018-08-08,2018-02-09,Dette forslag pålægger folketinget at debattere og ultimativt stille krav til regeringen om at udskrive folkeafstemning vedrørende Danmarks fortsatte deltagelse i EU.,929,Dette forslag pålægger folketinget at debattere og ultimativt stille krav til regeringen om at udskrive folkeafstemning vedrørende Danmarks fortsatte deltagelse i EU.,Dansk udmeldelse af EU,201,8.0,februar,2018,8.0,august,58 days 00:00:00.000000000,166
